satellite,instrument,satellite-description,instrument-description
dmsp-17,sess-ssj5,Defense Meteorological Satellite Program - F17 (DMSP-F17),SESS / Special Sensor Precipitating Electron and Ion Spectrometer  (SESS/SSJ5 )
dmsp-17,sess-ssm-boom,Defense Meteorological Satellite Program - F17 (DMSP-F17),SESS / Special Sensor Magnetometer - Boom (SESS/SSM-Boom)
dmsp-17,sess-ssuli,Defense Meteorological Satellite Program - F17 (DMSP-F17),SESS / Special Sensor Ultraviolet Limb Imager (SESS/SSULI)
dmsp-17,sess-ssusi,Defense Meteorological Satellite Program - F17 (DMSP-F17),SESS / Special Sensor Ultraviolet Spectrographic Imager (SESS/SSUSI)
dmsp-18,sess-ssi-es-3,Defense Meteorological Satellite Program - F18 (DMSP-F18),SESS / Special Sensor Ionospheric Plasma Drift/Scintillation Monitor - 3 (SESS/SSI/ES-3)
dmsp-18,sess-ssj5,Defense Meteorological Satellite Program - F18 (DMSP-F18),SESS / Special Sensor Precipitating Electron and Ion Spectrometer  (SESS/SSJ5 )
dmsp-18,sess-ssm-boom,Defense Meteorological Satellite Program - F18 (DMSP-F18),SESS / Special Sensor Magnetometer - Boom (SESS/SSM-Boom)
dmsp-18,sess-ssuli,Defense Meteorological Satellite Program - F18 (DMSP-F18),SESS / Special Sensor Ultraviolet Limb Imager (SESS/SSULI)
dmsp-18,sess-ssusi,Defense Meteorological Satellite Program - F18 (DMSP-F18),SESS / Special Sensor Ultraviolet Spectrographic Imager (SESS/SSUSI)
dscovr,es,Deep Space Climate Observatory (DSCOVR),Electron Spectrometer (ES)
dscovr,fc,Deep Space Climate Observatory (DSCOVR),Faraday Cup (FC)
dscovr,mag,Deep Space Climate Observatory (DSCOVR),Magnetometer (MAG)
electro-l-n2,ggak-e-dir-e,Electro-L Number 2 (Electro-L N2),Solar X-ray radiation flux sensor (GGAK-E/DIR-E)
electro-l-n2,ggak-e-gals-e,Electro-L Number 2 (Electro-L N2),GGAK-E / Detector of galactic cosmic rays (GGAK-E/GALS-E)
electro-l-n2,ggak-e-skif-6,Electro-L Number 2 (Electro-L N2),GGAK-E / Corpuscular radiation spectrometer (GGAK-E/SKIF-6)
electro-l-n2,ggak-e-skl-e,Electro-L Number 2 (Electro-L N2),GGAK-E / Solar cosmic rays spectrometer (GGAK-E/SKL-E)
electro-l-n2,ggak-e-vuss-e,Electro-L Number 2 (Electro-L N2),GGAK-E / Solar UV radiation sensor (GGAK-E/VUSS-E)
electro-l-n3,ggak-e-dir-e,Electro-L Number 3 (Electro-L N3),Solar X-ray radiation flux sensor (GGAK-E/DIR-E)
electro-l-n3,ggak-e-gals-e,Electro-L Number 3 (Electro-L N3),GGAK-E / Detector of galactic cosmic rays (GGAK-E/GALS-E)
electro-l-n3,ggak-e-skif-6,Electro-L Number 3 (Electro-L N3),GGAK-E / Corpuscular radiation spectrometer (GGAK-E/SKIF-6)
electro-l-n3,ggak-e-skl-e,Electro-L Number 3 (Electro-L N3),GGAK-E / Solar cosmic rays spectrometer (GGAK-E/SKL-E)
electro-l-n3,ggak-e-vuss-e,Electro-L Number 3 (Electro-L N3),GGAK-E / Solar UV radiation sensor (GGAK-E/VUSS-E)
electro-l-n4,ggak-e-dir-e,Electro-L Number 4 (Electro-L N4),Solar X-ray radiation flux sensor (GGAK-E/DIR-E)
electro-l-n4,ggak-e-fm-e,Electro-L Number 4 (Electro-L N4),GGAK-E / Magnetometer instrument (GGAK-E/FM-E)
electro-l-n4,ggak-e-gals-e,Electro-L Number 4 (Electro-L N4),GGAK-E / Detector of galactic cosmic rays (GGAK-E/GALS-E)
electro-l-n4,ggak-e-isp-2m,Electro-L Number 4 (Electro-L N4),GGAK-L / Solar constant sensor (GGAK-E/ISP-2M)
electro-l-n4,ggak-e-skif-6,Electro-L Number 4 (Electro-L N4),GGAK-E / Corpuscular radiation spectrometer (GGAK-E/SKIF-6)
electro-l-n4,ggak-e-skl-e,Electro-L Number 4 (Electro-L N4),GGAK-E / Solar cosmic rays spectrometer (GGAK-E/SKL-E)
electro-l-n4,ggak-e-vuss-e,Electro-L Number 4 (Electro-L N4),GGAK-E / Solar UV radiation sensor (GGAK-E/VUSS-E)
formosat-5,aip,FORMOSAT-5,Advanced Ionospheric Probe (AIP)
fy-2g,sem,Feng-Yun - 2G (FY-2G),Space Environment Monitor (SEM)
fy-2g,sxm,Feng-Yun - 2G (FY-2G),Solar X-ray monitor (SXM)
fy-2h,sem,Feng-Yun - 2H (FY-2H),Space Environment Monitor (SEM)
fy-2h,sxm,Feng-Yun - 2H (FY-2H),Solar X-ray monitor (SXM)
fy-3c,sem-hepd,Feng-Yun 3C (FY-3C),Space Environment Monitor - High Energy Particle Detector (SEM/HEPD)
fy-3c,sem-ims,Feng-Yun 3C (FY-3C),Space Environment Monitor - Ionosphere Measurement Sensor (SEM/IMS)
fy-3d,sem-hepd,Feng-Yun 3D (FY-3D),Space Environment Monitor - High Energy Particle Detector (SEM/HEPD)
fy-3d,sws-sem-ims,Feng-Yun 3D (FY-3D),Space Weather Suite / Space Environment Monitor / Ionosphere Measurement Sensor (SWS/SEM/IMS)
fy-3d,sws-wai,Feng-Yun 3D (FY-3D),Space Weather Suite / Wide-field Auroral Imager (SWS/WAI)
fy-3e,sws-sem-fgm,Feng-Yun 3E (FY-3E),Space Weather Suite / Space Environment Monitor / Flux Gate Magnetometer (SWS/SEM/FGM)
fy-3e,sws-sem-hepd,Feng-Yun 3E (FY-3E),Space Weather Suite / Space Environment Monitor / High Energy Particle Detector (SWS/SEM/HEPD)
fy-3e,sws-sem-ims,Feng-Yun 3E (FY-3E),Space Weather Suite / Space Environment Monitor / Ionosphere Measurement Sensor (SWS/SEM/IMS)
fy-3e,sws-tri-ipm,Feng-Yun 3E (FY-3E),Space Weather Suite - Triple-angle Ionospheric PhotoMeter (SWS/Tri-IPM)
fy-3e,xeuvi,Feng-Yun 3E (FY-3E),Solar X-ray and Extreme Ultraviolet Imager (XEUVI)
fy-4a,sep-fields,Feng-Yun - 4A (FY-4A),Space Environment Package - fields (SEP-fields)
fy-4a,sep-heps,Feng-Yun - 4A (FY-4A),Space Environment Package / High Energy Particles Sensor (SEP/HEPS)
fy-4b,fgm,Feng-Yun - 4B (FY-4B),Fluxgate Magnetometer (FGM)
fy-4b,sep-fields,Feng-Yun - 4B (FY-4B),Space Environment Package - fields (SEP-fields)
fy-4b,sep-heps,Feng-Yun - 4B (FY-4B),Space Environment Package / High Energy Particles Sensor (SEP/HEPS)
fy-4b,sep-leps,Feng-Yun - 4B (FY-4B),Space Environment Package / Low Energy Particles Sensor (SEP/LEPS)
fy-4b,sep-meps,Feng-Yun - 4B (FY-4B),Space Environment Package / Medium Energy Particles Sensor (SEP/MEPS)
fy-4c,sep-fields,Feng-Yun - 4C (FY-4C),Space Environment Package - fields (SEP-fields)
fy-4c,sep-heps,Feng-Yun - 4C (FY-4C),Space Environment Package / High Energy Particles Sensor (SEP/HEPS)
fy-4c,sep-leps,Feng-Yun - 4C (FY-4C),Space Environment Package / Low Energy Particles Sensor (SEP/LEPS)
fy-4c,sep-meps,Feng-Yun - 4C (FY-4C),Space Environment Package / Medium Energy Particles Sensor (SEP/MEPS)
fy-4c,suvi,Feng-Yun - 4C (FY-4C),Solar Extreme-UltraViolet Imager (SUVI)
fy-4c,sxeuv,Feng-Yun - 4C (FY-4C),Solar X-EUV imaging telescope (SXEUV)
fy-4c,sxus,Feng-Yun - 4C (FY-4C),Solar X-EUV Irradiance Sensor (SXUS)
fy-4d,sep-fields,Feng-Yun - 4D (FY-4D),Space Environment Package - fields (SEP-fields)
fy-4d,sep-heps,Feng-Yun - 4D (FY-4D),Space Environment Package / High Energy Particles Sensor (SEP/HEPS)
fy-4d,sep-leps,Feng-Yun - 4D (FY-4D),Space Environment Package / Low Energy Particles Sensor (SEP/LEPS)
fy-4d,sep-meps,Feng-Yun - 4D (FY-4D),Space Environment Package / Medium Energy Particles Sensor (SEP/MEPS)
fy-4d,suvi,Feng-Yun - 4D (FY-4D),Solar Extreme-UltraViolet Imager (SUVI)
fy-4d,sxeuv,Feng-Yun - 4D (FY-4D),Solar X-EUV imaging telescope (SXEUV)
fy-4d,sxus,Feng-Yun - 4D (FY-4D),Solar X-EUV Irradiance Sensor (SXUS)
