orbit-type,sensor-type,satellite,data-type,orbit-type-description,sensor-type-description,satellite-description,data-type-description
sso,in_situ_plasma_probe,meteor-m-n2,level-1,Sun-synchronous orbit�,in_situ_plasma_probe,meteor-m-n2,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,in_situ_plasma_probe,meteor-m-n2-2,level-0,Sun-synchronous orbit�,in_situ_plasma_probe,meteor-m-n2-2,Raw data at full instrument resolution.
sso,in_situ_plasma_probe,meteor-m-n2-2,level-1,Sun-synchronous orbit�,in_situ_plasma_probe,meteor-m-n2-2,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,in_situ_plasma_probe,meteor-m-n2-3,level-0,Sun-synchronous orbit�,in_situ_plasma_probe,meteor-m-n2-3,Raw data at full instrument resolution.
sso,in_situ_plasma_probe,meteor-m-n2-3,level-1,Sun-synchronous orbit�,in_situ_plasma_probe,meteor-m-n2-3,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,in_situ_plasma_probe,meteor-m-n2-4,level-0,Sun-synchronous orbit�,in_situ_plasma_probe,meteor-m-n2-4,Raw data at full instrument resolution.
sso,in_situ_plasma_probe,meteor-m-n2-4,level-1,Sun-synchronous orbit�,in_situ_plasma_probe,meteor-m-n2-4,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,in_situ_plasma_probe,metop-b,level-0,Sun-synchronous orbit�,in_situ_plasma_probe,metop-b,Raw data at full instrument resolution.
sso,in_situ_plasma_probe,metop-b,level-1,Sun-synchronous orbit�,in_situ_plasma_probe,metop-b,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,in_situ_plasma_probe,metop-c,level-0,Sun-synchronous orbit�,in_situ_plasma_probe,metop-c,Raw data at full instrument resolution.
sso,in_situ_plasma_probe,metop-c,level-1,Sun-synchronous orbit�,in_situ_plasma_probe,metop-c,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,in_situ_plasma_probe,noaa-15,level-0,Sun-synchronous orbit�,in_situ_plasma_probe,noaa-15,Raw data at full instrument resolution.
sso,in_situ_plasma_probe,noaa-15,level-1,Sun-synchronous orbit�,in_situ_plasma_probe,noaa-15,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,in_situ_plasma_probe,noaa-18,level-0,Sun-synchronous orbit�,in_situ_plasma_probe,noaa-18,Raw data at full instrument resolution.
sso,in_situ_plasma_probe,noaa-18,level-1,Sun-synchronous orbit�,in_situ_plasma_probe,noaa-18,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,in_situ_plasma_probe,noaa-19,level-0,Sun-synchronous orbit�,in_situ_plasma_probe,noaa-19,Raw data at full instrument resolution.
sso,in_situ_plasma_probe,noaa-19,level-1,Sun-synchronous orbit�,in_situ_plasma_probe,noaa-19,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,solar_activity_monitor,proba-2,level-0,Sun-synchronous orbit�,solar_activity_monitor,proba-2,Raw data at full instrument resolution.
sso,solar_activity_monitor,proba-2,level-1,Sun-synchronous orbit�,solar_activity_monitor,proba-2,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,solar_activity_monitor,solar-b,level-0,Sun-synchronous orbit�,solar_activity_monitor,solar-b,Raw data at full instrument resolution.
sso,solar_activity_monitor,solar-b,level-1,Sun-synchronous orbit�,solar_activity_monitor,solar-b,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,solar_magnetograph,aso-s,level-0,Sun-synchronous orbit�,solar_magnetograph,aso-s,Raw data at full instrument resolution.
sso,solar_magnetograph,aso-s,level-1,Sun-synchronous orbit�,solar_magnetograph,aso-s,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,solar_magnetograph,fy-3e,level-0,Sun-synchronous orbit�,solar_magnetograph,fy-3e,Raw data at full instrument resolution.
sso,solar_magnetograph,fy-3e,level-1,Sun-synchronous orbit�,solar_magnetograph,fy-3e,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,solar_magnetograph,iris,level-0,Sun-synchronous orbit�,solar_magnetograph,iris,Raw data at full instrument resolution.
sso,solar_magnetograph,iris,level-1,Sun-synchronous orbit�,solar_magnetograph,iris,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,solar_magnetograph,proba-2,level-0,Sun-synchronous orbit�,solar_magnetograph,proba-2,Raw data at full instrument resolution.
sso,solar_magnetograph,proba-2,level-1,Sun-synchronous orbit�,solar_magnetograph,proba-2,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,solar_magnetograph,solar-b,level-0,Sun-synchronous orbit�,solar_magnetograph,solar-b,Raw data at full instrument resolution.
sso,solar_magnetograph,solar-b,level-1,Sun-synchronous orbit�,solar_magnetograph,solar-b,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,x_ray_spectrograph,fy-3e,level-0,Sun-synchronous orbit�,x_ray_spectrograph,fy-3e,Raw data at full instrument resolution.
sso,x_ray_spectrograph,fy-3e,level-1,Sun-synchronous orbit�,x_ray_spectrograph,fy-3e,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
sso,x_ray_spectrograph,solar-b,level-0,Sun-synchronous orbit�,x_ray_spectrograph,solar-b,Raw data at full instrument resolution.
sso,x_ray_spectrograph,solar-b,level-1,Sun-synchronous orbit�,x_ray_spectrograph,solar-b,"In general, instrument readings are expressed in appropriate physical units and refer to Earth geographical coordinates."
